dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.3016090989112854,0.9104234527687296,0.9073170731707317,0.12384300094018505,0.24401474127880654,0.003106379597997866,0.08814512193202972,1.1716922472260194e-06,True,0.048338912427425385,0.048408400267362595,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,0.4128969073295593,0.9104234527687296,0.9073170731707317,1.891100037215907,8.446676402903135,0.003106379597997866,0.07319915294647217,1.3160261914890725e-05,True,0.1837017834186554,0.18363288044929504,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.31415443420410155,0.9104234527687296,0.9073170731707317,0.09480098528631782,0.19559074461400497,0.003106379597997866,0.08849453926086426,1.0814424058480654e-05,True,0.12307003885507584,0.12296877801418304,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.3060600608587265,0.9104234527687296,0.9073170731707317,0.17659103602221063,0.3406821492466994,0.003106379597997866,0.07406529784202576,3.504305368551286e-06,True,0.08475223928689957,0.08465087413787842,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.30555042922496795,0.9104234527687296,0.9073170731707317,0.18804831031964137,0.351645968687571,0.003106379597997866,0.08551531285047531,3.423617727094097e-06,True,0.06646416336297989,0.06636809557676315,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.30265929698944094,0.9104234527687296,0.9073170731707317,0.10667642405205655,0.16147464885007634,0.003106379597997866,0.08562928438186646,2.8603055852727266e-06,True,0.057315580546855927,0.057223692536354065,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.2986854434013367,0.9104234527687296,0.9073170731707317,0.19816579845803423,0.4160295023791778,0.003106379597997866,0.08449258655309677,2.612849129945971e-06,True,0.052480168640613556,0.05239088088274002,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.29747921526432036,0.9104234527687296,0.9073170731707317,0.15564391064959246,0.2526712139859996,0.003106379597997866,0.080088309943676,2.288535597472219e-06,True,0.049914389848709106,0.049826353788375854,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.30666798651218413,0.9104234527687296,0.9073170731707317,0.21135462607218508,0.31584555460663827,0.003106379597997866,0.07323364168405533,1.875759494396334e-06,True,0.04863079637289047,0.048543013632297516,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.305354842543602,0.9104234527687296,0.9073170731707317,0.14334702494637222,0.26013475418017923,0.003106379597997866,0.08168715238571167,2.3291063371289056e-06,True,0.0481058731675148,0.04801765829324722,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
