model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type
TST,synthetic_piecewise,42,regression,ablation,TST-v3-MoE-tuned,ok,rmse,0.840461,93.556,0.06,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_1e-4,1e-4,val_rmse,minimize,0.770713,13,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_irrelevant_noise,42,classification,baseline,linear,ok,accuracy,0.804878,0.0816,0.0064,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_irrelevant_noise,42,classification,baseline,random_forest,ok,accuracy,0.843902,0.4098,0.0128,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_irrelevant_noise,42,classification,baseline,gradient_boosting,ok,accuracy,0.907317,2.2222,0.0287,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_irrelevant_noise,42,classification,baseline,mlp,ok,accuracy,0.795122,0.2918,0.0034,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_irrelevant_noise,42,classification,baseline,lightgbm,ok,accuracy,0.917073,0.6925,0.012,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_irrelevant_noise,42,classification,baseline,catboost,ok,accuracy,0.921951,15.6304,0.0549,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_irrelevant_noise,42,classification,ablation,TST-v0,ok,accuracy,0.502439,95.1308,0.2329,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_irrelevant_noise,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.502439,92.6917,0.3491,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_irrelevant_noise,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.502439,121.3447,0.2198,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
