model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes
TST-v3-MoE,synthetic_piecewise,43,regression,ablation,TST-v3-MoE,ok,rmse,0.804319,9.2342,0.0233,1024,20,,,
Linear/Ridge,synthetic_irrelevant_noise,43,classification,baseline,linear,ok,accuracy,0.804878,0.009,0.0014,1024,100,,,
Random Forest,synthetic_irrelevant_noise,43,classification,baseline,random_forest,ok,accuracy,0.843902,0.1195,0.0043,1024,100,,,
Gradient Boosting,synthetic_irrelevant_noise,43,classification,baseline,gradient_boosting,ok,accuracy,0.931707,1.035,0.0021,1024,100,,,
MLP,synthetic_irrelevant_noise,43,classification,baseline,mlp,ok,accuracy,0.765854,0.0703,0.002,1024,100,,,
LightGBM,synthetic_irrelevant_noise,43,classification,baseline,lightgbm,ok,accuracy,0.941463,0.2572,0.0037,1024,100,,,
CatBoost,synthetic_irrelevant_noise,43,classification,baseline,catboost,ok,accuracy,0.936585,7.6582,0.0316,1024,100,,,
TST-v0,synthetic_irrelevant_noise,43,classification,ablation,TST-v0,ok,accuracy,0.512195,43.2979,0.1227,1024,100,,,
TST-v1-Gate,synthetic_irrelevant_noise,43,classification,ablation,TST-v1-Gate,ok,accuracy,0.512195,37.17,0.1278,1024,100,,,
TST-v2-GateFourier,synthetic_irrelevant_noise,43,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.512195,36.401,0.1377,1024,100,,,
TST-v3-MoE,synthetic_irrelevant_noise,43,classification,ablation,TST-v3-MoE,ok,accuracy,0.512195,37.5675,0.1497,1024,100,,,
Linear/Ridge,synthetic_rotated,43,classification,baseline,linear,ok,accuracy,0.980488,0.0089,0.0014,1024,20,,,
Random Forest,synthetic_rotated,43,classification,baseline,random_forest,ok,accuracy,0.95122,0.0609,0.0042,1024,20,,,
Gradient Boosting,synthetic_rotated,43,classification,baseline,gradient_boosting,ok,accuracy,0.985366,0.2338,0.0018,1024,20,,,
MLP,synthetic_rotated,43,classification,baseline,mlp,ok,accuracy,0.970732,0.0611,0.0021,1024,20,,,
LightGBM,synthetic_rotated,43,classification,baseline,lightgbm,ok,accuracy,0.970732,0.0624,0.0054,1024,20,,,
CatBoost,synthetic_rotated,43,classification,baseline,catboost,ok,accuracy,0.97561,1.553,0.003,1024,20,,,
TST-v0,synthetic_rotated,43,classification,ablation,TST-v0,ok,accuracy,0.634146,5.9499,0.0269,1024,20,,,
TST-v1-Gate,synthetic_rotated,43,classification,ablation,TST-v1-Gate,ok,accuracy,0.634146,6.4319,0.0229,1024,20,,,
TST-v2-GateFourier,synthetic_rotated,43,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.634146,6.9396,0.0233,1024,20,,,
TST-v3-MoE,synthetic_rotated,43,classification,ablation,TST-v3-MoE,ok,accuracy,0.634146,6.7376,0.0257,1024,20,,,
Linear/Ridge,synthetic_regime,43,regression,baseline,linear,ok,rmse,0.461956,0.0115,0.0015,1024,20,,,
Random Forest,synthetic_regime,43,regression,baseline,random_forest,ok,rmse,0.248116,0.1868,0.0041,1024,20,,,
Gradient Boosting,synthetic_regime,43,regression,baseline,gradient_boosting,ok,rmse,0.274048,0.2235,0.0022,1024,20,,,
MLP,synthetic_regime,43,regression,baseline,mlp,ok,rmse,0.358535,0.0627,0.0017,1024,20,,,
LightGBM,synthetic_regime,43,regression,baseline,lightgbm,ok,rmse,0.237267,0.0505,0.0043,1024,20,,,
CatBoost,synthetic_regime,43,regression,baseline,catboost,ok,rmse,0.194142,1.3327,0.0035,1024,20,,,
TST-v0,synthetic_regime,43,regression,ablation,TST-v0,ok,rmse,0.599627,7.9171,0.0221,1024,20,,,
TST-v1-Gate,synthetic_regime,43,regression,ablation,TST-v1-Gate,ok,rmse,0.59937,7.4167,0.028,1024,20,,,
TST-v2-GateFourier,synthetic_regime,43,regression,ablation,TST-v2-GateFourier,ok,rmse,0.60836,9.2179,0.0259,1024,20,,,
TST-v3-MoE,synthetic_regime,43,regression,ablation,TST-v3-MoE,ok,rmse,0.607007,7.1221,0.025,1024,20,,,
Linear/Ridge,synthetic_sparse_high_order,43,classification,baseline,linear,ok,accuracy,0.970732,0.0077,0.0014,1024,50,,,
Random Forest,synthetic_sparse_high_order,43,classification,baseline,random_forest,ok,accuracy,0.97561,0.0658,0.0031,1024,50,,,
Gradient Boosting,synthetic_sparse_high_order,43,classification,baseline,gradient_boosting,ok,accuracy,0.990244,0.5193,0.0018,1024,50,,,
MLP,synthetic_sparse_high_order,43,classification,baseline,mlp,ok,accuracy,0.97561,0.0652,0.0031,1024,50,,,
LightGBM,synthetic_sparse_high_order,43,classification,baseline,lightgbm,ok,accuracy,0.990244,0.082,0.0032,1024,50,,,
CatBoost,synthetic_sparse_high_order,43,classification,baseline,catboost,ok,accuracy,0.990244,3.4501,0.0054,1024,50,,,
TST-v0,synthetic_sparse_high_order,43,classification,ablation,TST-v0,ok,accuracy,0.97561,18.5082,0.0612,1024,50,,,
TST-v1-Gate,synthetic_sparse_high_order,43,classification,ablation,TST-v1-Gate,ok,accuracy,0.97561,17.6992,0.0588,1024,50,,,
TST-v2-GateFourier,synthetic_sparse_high_order,43,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.97561,18.6709,0.0789,1024,50,,,
TST-v3-MoE,synthetic_sparse_high_order,43,classification,ablation,TST-v3-MoE,ok,accuracy,0.97561,16.5324,0.0593,1024,50,,,
Linear/Ridge,synthetic_axis_aligned,44,classification,baseline,linear,ok,accuracy,0.970732,0.0072,0.0011,1024,20,,,
Random Forest,synthetic_axis_aligned,44,classification,baseline,random_forest,ok,accuracy,0.995122,0.0473,0.0035,1024,20,,,
Gradient Boosting,synthetic_axis_aligned,44,classification,baseline,gradient_boosting,ok,accuracy,0.995122,0.1605,0.0021,1024,20,,,
MLP,synthetic_axis_aligned,44,classification,baseline,mlp,ok,accuracy,0.941463,0.0597,0.0016,1024,20,,,
LightGBM,synthetic_axis_aligned,44,classification,baseline,lightgbm,ok,accuracy,0.995122,0.0557,0.0036,1024,20,,,
CatBoost,synthetic_axis_aligned,44,classification,baseline,catboost,ok,accuracy,1.0,1.6016,0.0035,1024,20,,,
TST-v0,synthetic_axis_aligned,44,classification,ablation,TST-v0,ok,accuracy,0.892683,6.0863,0.0234,1024,20,,,
TST-v1-Gate,synthetic_axis_aligned,44,classification,ablation,TST-v1-Gate,ok,accuracy,0.892683,6.1479,0.0233,1024,20,,,
TST-v2-GateFourier,synthetic_axis_aligned,44,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.892683,6.815,0.0292,1024,20,,,
